species_id,species_name,environment,image_base_name,global_index,image_path
1,A73EGS-P,controlled,A73EGS-P_1,1,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\1.png
1,A73EGS-P,sketches,A73EGS-P_2,2,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\2.png
1,A73EGS-P,controlled,A73EGS-P_3,3,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\3.png
1,A73EGS-P,controlled,A73EGS-P_4,4,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\4.png
1,A73EGS-P,controlled,A73EGS-P_5,5,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\5.png
1,A73EGS-P,controlled,A73EGS-P_6,6,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\6.png
1,A73EGS-P,controlled,A73EGS-P_7,7,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\7.png
2,acanthaluteres_brownii,insitu,acanthaluteres_brownii_1,8,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\8.png
2,acanthaluteres_brownii,insitu,acanthaluteres_brownii_2,9,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\9.png
2,acanthaluteres_brownii,insitu,acanthaluteres_brownii_3,10,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\10.png
2,acanthaluteres_brownii,insitu,acanthaluteres_brownii_4,11,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\11.png
3,acanthaluteres_spilomelanurus,controlled,acanthaluteres_spilomelanurus_1,12,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\12.png
3,acanthaluteres_spilomelanurus,insitu,acanthaluteres_spilomelanurus_2,13,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\13.png
3,acanthaluteres_spilomelanurus,insitu,acanthaluteres_spilomelanurus_3,14,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\14.png
4,acanthaluteres_vittiger,insitu,acanthaluteres_vittiger_1,15,D:\Smart Fish Freshness Detection System\Fish_Data\images\numbered\15.png
